Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
gpt4free,2023-03-29T17:00:43Z,732,253,2025-03-02T21:41:32Z,Python,100,0
PayloadsAllTheThings,2016-10-18T07:29:07Z,539,4,2025-03-02T21:07:05Z,Python,0,0
imgui,2014-07-21T14:29:47Z,386,108,2025-03-02T19:49:46Z,C++,95,5
javascript-questions,2019-06-12T08:26:27Z,328,0,2025-03-02T21:42:20Z,N/A,100,0
the-algorithm,2023-03-27T14:57:57Z,2,0,2025-03-02T18:47:02Z,Scala,92,8
sherlock,2018-12-24T14:30:48Z,639,1,2025-03-02T20:38:13Z,Python,92,8
keras,2015-03-28T00:35:42Z,3944,73,2025-03-02T20:22:28Z,Python,100,0
obs-studio,2013-10-01T02:40:31Z,4996,214,2025-03-02T20:29:39Z,C,100,0
sway,2021-01-19T20:54:33Z,3291,162,2025-03-02T17:05:59Z,Rust,94,6
resume.github.com,2011-02-06T13:39:55Z,84,0,2025-03-02T20:58:11Z,JavaScript,58,42
awesome-public-datasets,2014-11-20T06:20:50Z,188,1,2025-03-02T21:27:34Z,N/A,47,53
tabby,2016-12-23T09:06:10Z,1476,195,2025-03-02T19:33:10Z,TypeScript,99,1
awesome-cpp,2014-07-17T08:51:11Z,774,0,2025-03-02T20:11:38Z,N/A,57,43
openai-cookbook,2022-03-11T02:08:53Z,673,0,2025-03-02T18:56:02Z,MDX,100,0
caddy,2015-01-13T19:45:03Z,2041,123,2025-03-02T20:11:17Z,Go,100,0
echarts,2013-04-03T03:18:59Z,1354,118,2025-03-02T19:42:23Z,TypeScript,100,0
socket.io,2010-03-11T18:24:48Z,435,75,2025-03-02T21:08:00Z,TypeScript,100,0
nocode,2018-02-06T23:54:00Z,1,1,2025-03-02T18:21:26Z,Dockerfile,19,81
scikit-learn,2010-08-17T09:43:38Z,12919,45,2025-03-02T18:51:44Z,Python,99,1
SecLists,2012-02-19T01:30:18Z,660,27,2025-03-02T21:45:02Z,PHP,100,0
redux,2015-05-29T23:53:15Z,1708,78,2025-03-02T19:20:49Z,TypeScript,100,0
AppFlowy,2021-06-16T12:56:48Z,3505,98,2025-03-02T20:21:42Z,Dart,90,10
Java,2016-07-16T10:21:02Z,1850,0,2025-03-02T21:10:15Z,Java,100,0
Apollo-11,2014-04-03T15:45:02Z,341,0,2025-03-02T20:47:04Z,Assembly,99,1
cs-self-learning,2021-10-20T13:43:42Z,270,4,2025-03-02T20:27:13Z,HTML,61,39
awesome-scalability,2017-12-27T03:46:40Z,36,0,2025-03-02T19:03:56Z,N/A,0,0
atom,2012-01-20T18:18:21Z,3937,538,2025-03-02T19:33:14Z,JavaScript,100,0
lodash,2012-04-07T04:11:46Z,581,2,2025-03-02T10:13:39Z,JavaScript,100,0
architect-awesome,2018-04-06T13:30:58Z,49,0,2025-03-02T07:35:03Z,N/A,22,49
design-resources-for-developers,2020-05-06T14:40:35Z,939,0,2025-03-02T21:10:20Z,N/A,100,0
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,484,0,2025-03-02T21:16:59Z,Nunjucks,99,1
markdown-here,2012-05-13T03:27:22Z,25,14,2025-03-02T08:36:23Z,JavaScript,79,21
awesome-nodejs,2014-07-11T13:35:34Z,414,0,2025-03-02T20:34:01Z,N/A,100,0
jquery,2009-04-03T15:20:14Z,789,10,2025-03-02T21:32:22Z,JavaScript,95,5
immich,2022-02-03T15:56:27Z,5591,235,2025-03-02T21:44:28Z,TypeScript,99,1
awesome-courses,2014-11-15T18:36:49Z,194,0,2025-03-02T20:34:33Z,N/A,39,40
new-pac,2016-03-23T08:43:36Z,0,0,2025-03-02T21:51:30Z,Python,100,0
annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,102,0,2025-03-02T21:13:53Z,Python,89,11
angular.js,2010-01-06T00:34:37Z,789,0,2025-03-02T17:18:52Z,JavaScript,100,0
shadowsocks-windows,2013-01-14T07:54:16Z,290,55,2025-03-02T18:37:54Z,C#,100,0
docusaurus,2017-06-20T16:13:53Z,5351,149,2025-03-02T21:01:43Z,TypeScript,100,0
open-interpreter,2023-07-14T07:10:44Z,367,48,2025-03-02T21:34:20Z,Python,100,0
localsend,2022-12-16T00:46:07Z,654,24,2025-03-02T21:54:40Z,Dart,74,26
act,2019-01-02T19:53:43Z,1012,83,2025-03-02T21:10:18Z,Go,99,1
localstack,2016-10-25T23:48:03Z,5736,89,2025-03-02T21:22:49Z,Python,100,0
alacritty,2016-02-18T05:02:30Z,1860,101,2025-03-02T21:56:02Z,Rust,96,4
